Company Name,Supplier Type,Brand Name,Product Categories,Key Strength Sub Categories,Secondary Products,Country,Province,City,Town,Address,Primary Contact Name,Calling Number,Email,Current Status,Supplier Grade,Potential,Visited Factory?,Visit Remarks
test15,Trader,Yinglima Supplier 6,Tech/Feed Grade Ingredients,Spares for Band Sealer,Spare Parts 1,China,Zhejiang,Shanghai,Industrial Zone 16,No. 150 Industry Road,Mr. Manager 15,+86 13800000015,supplier15@yinglima.com,NEW,Grade A,NO,No,Verified supplier test record 15
test16,Manufacturer,Yinglima Supplier 7,Filteration,Vacuum Packers,Spare Parts 2,China,Zhejiang,Guangzhou,Industrial Zone 17,No. 160 Industry Road,Mr. Manager 16,+86 13800000016,supplier16@yinglima.com,NEW,Grade B,NO,Yes,Verified supplier test record 16
test17,Trader,Yinglima Supplier 8,Pumps,Solvents,Spare Parts 3,China,Zhejiang,Shenzhen,Industrial Zone 18,No. 170 Industry Road,Mr. Manager 17,+86 13800000017,supplier17@yinglima.com,NEW,Grade C,NO,No,Verified supplier test record 17
test18,Manufacturer,Yinglima Supplier 9,Machines,Band Sealer,Spare Parts 4,China,Zhejiang,Jinan,Industrial Zone 19,No. 180 Industry Road,Mr. Manager 18,+86 13800000018,supplier18@yinglima.com,NEW,Grade A,NO,No,Verified supplier test record 18
test19,Trader,Yinglima Supplier 10,Food Ingredients,Citric Acid,Spare Parts 5,China,Zhejiang,Yiwu,Industrial Zone 20,No. 190 Industry Road,Mr. Manager 19,+86 13800000019,supplier19@yinglima.com,NEW,Grade C,NO,No,Verified supplier test record 19
test20,Manufacturer,Yinglima Supplier 1,Chemicals,Caustic Soda,Spare Parts 1,China,Zhejiang,Wenzhou,Industrial Zone 1,No. 200 Industry Road,Mr. Manager 20,+86 13800000020,supplier20@yinglima.com,NEW,Grade B,NO,Yes,Verified supplier test record 20
test21,Trader,Yinglima Supplier 2,Tech/Feed Grade Ingredients,Spares for Band Sealer,Spare Parts 2,China,Zhejiang,Hangzhou,Industrial Zone 2,No. 210 Industry Road,Mr. Manager 21,+86 13800000021,supplier21@yinglima.com,NEW,Grade A,NO,No,Verified supplier test record 21
test22,Manufacturer,Yinglima Supplier 3,Filteration,Vacuum Packers,Spare Parts 3,China,Zhejiang,Ningbo,Industrial Zone 3,No. 220 Industry Road,Mr. Manager 22,+86 13800000022,supplier22@yinglima.com,NEW,Grade B,NO,No,Verified supplier test record 22
test23,Trader,Yinglima Supplier 4,Pumps,Solvents,Spare Parts 4,China,Zhejiang,Qingdao,Industrial Zone 4,No. 230 Industry Road,Mr. Manager 23,+86 13800000023,supplier23@yinglima.com,NEW,Grade C,NO,No,Verified supplier test record 23
test24,Manufacturer,Yinglima Supplier 5,Machines,Band Sealer,Spare Parts 5,China,Zhejiang,Weifang,Industrial Zone 5,No. 240 Industry Road,Mr. Manager 24,+86 13800000024,supplier24@yinglima.com,NEW,Grade A,NO,Yes,Verified supplier test record 24
test25,Trader,Yinglima Supplier 6,Food Ingredients,Citric Acid,Spare Parts 1,China,Zhejiang,Shanghai,Industrial Zone 6,No. 250 Industry Road,Mr. Manager 25,+86 13800000025,supplier25@yinglima.com,NEW,Grade C,NO,No,Verified supplier test record 25
test26,Manufacturer,Yinglima Supplier 7,Chemicals,Caustic Soda,Spare Parts 2,China,Zhejiang,Guangzhou,Industrial Zone 7,No. 260 Industry Road,Mr. Manager 26,+86 13800000026,supplier26@yinglima.com,NEW,Grade B,NO,No,Verified supplier test record 26
test27,Trader,Yinglima Supplier 8,Tech/Feed Grade Ingredients,Spares for Band Sealer,Spare Parts 3,China,Zhejiang,Shenzhen,Industrial Zone 8,No. 270 Industry Road,Mr. Manager 27,+86 13800000027,supplier27@yinglima.com,NEW,Grade A,NO,No,Verified supplier test record 27
test28,Manufacturer,Yinglima Supplier 9,Filteration,Vacuum Packers,Spare Parts 4,China,Zhejiang,Jinan,Industrial Zone 9,No. 280 Industry Road,Mr. Manager 28,+86 13800000028,supplier28@yinglima.com,NEW,Grade B,NO,Yes,Verified supplier test record 28
test29,Trader,Yinglima Supplier 10,Pumps,Solvents,Spare Parts 5,China,Zhejiang,Yiwu,Industrial Zone 10,No. 290 Industry Road,Mr. Manager 29,+86 13800000029,supplier29@yinglima.com,NEW,Grade C,NO,No,Verified supplier test record 29
test30,Manufacturer,Yinglima Supplier 1,Machines,Band Sealer,Spare Parts 1,China,Zhejiang,Wenzhou,Industrial Zone 11,No. 300 Industry Road,Mr. Manager 30,+86 13800000030,supplier30@yinglima.com,NEW,Grade A,NO,No,Verified supplier test record 30
test31,Trader,Yinglima Supplier 2,Food Ingredients,Citric Acid,Spare Parts 2,China,Zhejiang,Hangzhou,Industrial Zone 12,No. 310 Industry Road,Mr. Manager 31,+86 13800000031,supplier31@yinglima.com,NEW,Grade C,NO,No,Verified supplier test record 31
test32,Manufacturer,Yinglima Supplier 3,Chemicals,Caustic Soda,Spare Parts 3,China,Zhejiang,Ningbo,Industrial Zone 13,No. 320 Industry Road,Mr. Manager 32,+86 13800000032,supplier32@yinglima.com,NEW,Grade B,NO,Yes,Verified supplier test record 32
test33,Trader,Yinglima Supplier 4,Tech/Feed Grade Ingredients,Spares for Band Sealer,Spare Parts 4,China,Zhejiang,Qingdao,Industrial Zone 14,No. 330 Industry Road,Mr. Manager 33,+86 13800000033,supplier33@yinglima.com,NEW,Grade A,NO,No,Verified supplier test record 33
test34,Manufacturer,Yinglima Supplier 5,Filteration,Vacuum Packers,Spare Parts 5,China,Zhejiang,Weifang,Industrial Zone 15,No. 340 Industry Road,Mr. Manager 34,+86 13800000034,supplier34@yinglima.com,NEW,Grade B,NO,No,Verified supplier test record 34
test35,Trader,Yinglima Supplier 6,Pumps,Solvents,Spare Parts 1,China,Zhejiang,Shanghai,Industrial Zone 16,No. 350 Industry Road,Mr. Manager 35,+86 13800000035,supplier35@yinglima.com,NEW,Grade C,NO,No,Verified supplier test record 35
test36,Manufacturer,Yinglima Supplier 7,Machines,Band Sealer,Spare Parts 2,China,Zhejiang,Guangzhou,Industrial Zone 17,No. 360 Industry Road,Mr. Manager 36,+86 13800000036,supplier36@yinglima.com,NEW,Grade A,NO,Yes,Verified supplier test record 36
test37,Trader,Yinglima Supplier 8,Food Ingredients,Citric Acid,Spare Parts 3,China,Zhejiang,Shenzhen,Industrial Zone 18,No. 370 Industry Road,Mr. Manager 37,+86 13800000037,supplier37@yinglima.com,NEW,Grade C,NO,No,Verified supplier test record 37
test38,Manufacturer,Yinglima Supplier 9,Chemicals,Caustic Soda,Spare Parts 4,China,Zhejiang,Jinan,Industrial Zone 19,No. 380 Industry Road,Mr. Manager 38,+86 13800000038,supplier38@yinglima.com,NEW,Grade B,NO,No,Verified supplier test record 38
test39,Trader,Yinglima Supplier 10,Tech/Feed Grade Ingredients,Spares for Band Sealer,Spare Parts 5,China,Zhejiang,Yiwu,Industrial Zone 20,No. 390 Industry Road,Mr. Manager 39,+86 13800000039,supplier39@yinglima.com,NEW,Grade A,NO,No,Verified supplier test record 39
test40,Manufacturer,Yinglima Supplier 1,Filteration,Vacuum Packers,Spare Parts 1,China,Zhejiang,Wenzhou,Industrial Zone 1,No. 400 Industry Road,Mr. Manager 40,+86 13800000040,supplier40@yinglima.com,NEW,Grade B,NO,Yes,Verified supplier test record 40
test41,Trader,Yinglima Supplier 2,Pumps,Solvents,Spare Parts 2,China,Zhejiang,Hangzhou,Industrial Zone 2,No. 410 Industry Road,Mr. Manager 41,+86 13800000041,supplier41@yinglima.com,NEW,Grade C,NO,No,Verified supplier test record 41
test42,Manufacturer,Yinglima Supplier 3,Machines,Band Sealer,Spare Parts 3,China,Zhejiang,Ningbo,Industrial Zone 3,No. 420 Industry Road,Mr. Manager 42,+86 13800000042,supplier42@yinglima.com,NEW,Grade A,NO,No,Verified supplier test record 42
test43,Trader,Yinglima Supplier 4,Food Ingredients,Citric Acid,Spare Parts 4,China,Zhejiang,Qingdao,Industrial Zone 4,No. 430 Industry Road,Mr. Manager 43,+86 13800000043,supplier43@yinglima.com,NEW,Grade C,NO,No,Verified supplier test record 43
test44,Manufacturer,Yinglima Supplier 5,Chemicals,Caustic Soda,Spare Parts 5,China,Zhejiang,Weifang,Industrial Zone 5,No. 440 Industry Road,Mr. Manager 44,+86 13800000044,supplier44@yinglima.com,NEW,Grade B,NO,Yes,Verified supplier test record 44
test45,Trader,Yinglima Supplier 6,Tech/Feed Grade Ingredients,Spares for Band Sealer,Spare Parts 1,China,Zhejiang,Shanghai,Industrial Zone 6,No. 450 Industry Road,Mr. Manager 45,+86 13800000045,supplier45@yinglima.com,NEW,Grade A,NO,No,Verified supplier test record 45
test46,Manufacturer,Yinglima Supplier 7,Filteration,Vacuum Packers,Spare Parts 2,China,Zhejiang,Guangzhou,Industrial Zone 7,No. 460 Industry Road,Mr. Manager 46,+86 13800000046,supplier46@yinglima.com,NEW,Grade B,NO,No,Verified supplier test record 46
test47,Trader,Yinglima Supplier 8,Pumps,Solvents,Spare Parts 3,China,Zhejiang,Shenzhen,Industrial Zone 8,No. 470 Industry Road,Mr. Manager 47,+86 13800000047,supplier47@yinglima.com,NEW,Grade C,NO,No,Verified supplier test record 47
test48,Manufacturer,Yinglima Supplier 9,Machines,Band Sealer,Spare Parts 4,China,Zhejiang,Jinan,Industrial Zone 9,No. 480 Industry Road,Mr. Manager 48,+86 13800000048,supplier48@yinglima.com,NEW,Grade A,NO,Yes,Verified supplier test record 48
test49,Trader,Yinglima Supplier 10,Food Ingredients,Citric Acid,Spare Parts 5,China,Zhejiang,Yiwu,Industrial Zone 10,No. 490 Industry Road,Mr. Manager 49,+86 13800000049,supplier49@yinglima.com,NEW,Grade C,NO,No,Verified supplier test record 49
test50,Manufacturer,Yinglima Supplier 1,Chemicals,Caustic Soda,Spare Parts 1,China,Zhejiang,Wenzhou,Industrial Zone 11,No. 500 Industry Road,Mr. Manager 50,+86 13800000050,supplier50@yinglima.com,NEW,Grade B,NO,No,Verified supplier test record 50
test51,Trader,Yinglima Supplier 2,Tech/Feed Grade Ingredients,Spares for Band Sealer,Spare Parts 2,China,Zhejiang,Hangzhou,Industrial Zone 12,No. 510 Industry Road,Mr. Manager 51,+86 13800000051,supplier51@yinglima.com,NEW,Grade A,NO,No,Verified supplier test record 51
test52,Manufacturer,Yinglima Supplier 3,Filteration,Vacuum Packers,Spare Parts 3,China,Zhejiang,Ningbo,Industrial Zone 13,No. 520 Industry Road,Mr. Manager 52,+86 13800000052,supplier52@yinglima.com,NEW,Grade B,NO,Yes,Verified supplier test record 52
test53,Trader,Yinglima Supplier 4,Pumps,Solvents,Spare Parts 4,China,Zhejiang,Qingdao,Industrial Zone 14,No. 530 Industry Road,Mr. Manager 53,+86 13800000053,supplier53@yinglima.com,NEW,Grade C,NO,No,Verified supplier test record 53
test54,Manufacturer,Yinglima Supplier 5,Machines,Band Sealer,Spare Parts 5,China,Zhejiang,Weifang,Industrial Zone 15,No. 540 Industry Road,Mr. Manager 54,+86 13800000054,supplier54@yinglima.com,NEW,Grade A,NO,No,Verified supplier test record 54
test55,Trader,Yinglima Supplier 6,Food Ingredients,Citric Acid,Spare Parts 1,China,Zhejiang,Shanghai,Industrial Zone 16,No. 550 Industry Road,Mr. Manager 55,+86 13800000055,supplier55@yinglima.com,NEW,Grade C,NO,No,Verified supplier test record 55
test56,Manufacturer,Yinglima Supplier 7,Chemicals,Caustic Soda,Spare Parts 2,China,Zhejiang,Guangzhou,Industrial Zone 17,No. 560 Industry Road,Mr. Manager 56,+86 13800000056,supplier56@yinglima.com,NEW,Grade B,NO,Yes,Verified supplier test record 56
test57,Trader,Yinglima Supplier 8,Tech/Feed Grade Ingredients,Spares for Band Sealer,Spare Parts 3,China,Zhejiang,Shenzhen,Industrial Zone 18,No. 570 Industry Road,Mr. Manager 57,+86 13800000057,supplier57@yinglima.com,NEW,Grade A,NO,No,Verified supplier test record 57
test58,Manufacturer,Yinglima Supplier 9,Filteration,Vacuum Packers,Spare Parts 4,China,Zhejiang,Jinan,Industrial Zone 19,No. 580 Industry Road,Mr. Manager 58,+86 13800000058,supplier58@yinglima.com,NEW,Grade B,NO,No,Verified supplier test record 58
test59,Trader,Yinglima Supplier 10,Pumps,Solvents,Spare Parts 5,China,Zhejiang,Yiwu,Industrial Zone 20,No. 590 Industry Road,Mr. Manager 59,+86 13800000059,supplier59@yinglima.com,NEW,Grade C,NO,No,Verified supplier test record 59
test60,Manufacturer,Yinglima Supplier 1,Machines,Band Sealer,Spare Parts 1,China,Zhejiang,Wenzhou,Industrial Zone 1,No. 600 Industry Road,Mr. Manager 60,+86 13800000060,supplier60@yinglima.com,NEW,Grade A,NO,Yes,Verified supplier test record 60
test61,Trader,Yinglima Supplier 2,Food Ingredients,Citric Acid,Spare Parts 2,China,Zhejiang,Hangzhou,Industrial Zone 2,No. 610 Industry Road,Mr. Manager 61,+86 13800000061,supplier61@yinglima.com,NEW,Grade C,NO,No,Verified supplier test record 61
test62,Manufacturer,Yinglima Supplier 3,Chemicals,Caustic Soda,Spare Parts 3,China,Zhejiang,Ningbo,Industrial Zone 3,No. 620 Industry Road,Mr. Manager 62,+86 13800000062,supplier62@yinglima.com,NEW,Grade B,NO,No,Verified supplier test record 62
test63,Trader,Yinglima Supplier 4,Tech/Feed Grade Ingredients,Spares for Band Sealer,Spare Parts 4,China,Zhejiang,Qingdao,Industrial Zone 4,No. 630 Industry Road,Mr. Manager 63,+86 13800000063,supplier63@yinglima.com,NEW,Grade A,NO,No,Verified supplier test record 63
test64,Manufacturer,Yinglima Supplier 5,Filteration,Vacuum Packers,Spare Parts 5,China,Zhejiang,Weifang,Industrial Zone 5,No. 640 Industry Road,Mr. Manager 64,+86 13800000064,supplier64@yinglima.com,NEW,Grade B,NO,Yes,Verified supplier test record 64
test65,Trader,Yinglima Supplier 6,Pumps,Solvents,Spare Parts 1,China,Zhejiang,Shanghai,Industrial Zone 6,No. 650 Industry Road,Mr. Manager 65,+86 13800000065,supplier65@yinglima.com,NEW,Grade C,NO,No,Verified supplier test record 65
test66,Manufacturer,Yinglima Supplier 7,Machines,Band Sealer,Spare Parts 2,China,Zhejiang,Guangzhou,Industrial Zone 7,No. 660 Industry Road,Mr. Manager 66,+86 13800000066,supplier66@yinglima.com,NEW,Grade A,NO,No,Verified supplier test record 66
test67,Trader,Yinglima Supplier 8,Food Ingredients,Citric Acid,Spare Parts 3,China,Zhejiang,Shenzhen,Industrial Zone 8,No. 670 Industry Road,Mr. Manager 67,+86 13800000067,supplier67@yinglima.com,NEW,Grade C,NO,No,Verified supplier test record 67
test68,Manufacturer,Yinglima Supplier 9,Chemicals,Caustic Soda,Spare Parts 4,China,Zhejiang,Jinan,Industrial Zone 9,No. 680 Industry Road,Mr. Manager 68,+86 13800000068,supplier68@yinglima.com,NEW,Grade B,NO,Yes,Verified supplier test record 68
test69,Trader,Yinglima Supplier 10,Tech/Feed Grade Ingredients,Spares for Band Sealer,Spare Parts 5,China,Zhejiang,Yiwu,Industrial Zone 10,No. 690 Industry Road,Mr. Manager 69,+86 13800000069,supplier69@yinglima.com,NEW,Grade A,NO,No,Verified supplier test record 69
test70,Manufacturer,Yinglima Supplier 1,Filteration,Vacuum Packers,Spare Parts 1,China,Zhejiang,Wenzhou,Industrial Zone 11,No. 700 Industry Road,Mr. Manager 70,+86 13800000070,supplier70@yinglima.com,NEW,Grade B,NO,No,Verified supplier test record 70
test71,Trader,Yinglima Supplier 2,Pumps,Solvents,Spare Parts 2,China,Zhejiang,Hangzhou,Industrial Zone 12,No. 710 Industry Road,Mr. Manager 71,+86 13800000071,supplier71@yinglima.com,NEW,Grade C,NO,No,Verified supplier test record 71
test72,Manufacturer,Yinglima Supplier 3,Machines,Band Sealer,Spare Parts 3,China,Zhejiang,Ningbo,Industrial Zone 13,No. 720 Industry Road,Mr. Manager 72,+86 13800000072,supplier72@yinglima.com,NEW,Grade A,NO,Yes,Verified supplier test record 72
test73,Trader,Yinglima Supplier 4,Food Ingredients,Citric Acid,Spare Parts 4,China,Zhejiang,Qingdao,Industrial Zone 14,No. 730 Industry Road,Mr. Manager 73,+86 13800000073,supplier73@yinglima.com,NEW,Grade C,NO,No,Verified supplier test record 73
test74,Manufacturer,Yinglima Supplier 5,Chemicals,Caustic Soda,Spare Parts 5,China,Zhejiang,Weifang,Industrial Zone 15,No. 740 Industry Road,Mr. Manager 74,+86 13800000074,supplier74@yinglima.com,NEW,Grade B,NO,No,Verified supplier test record 74
test75,Trader,Yinglima Supplier 6,Tech/Feed Grade Ingredients,Spares for Band Sealer,Spare Parts 1,China,Zhejiang,Shanghai,Industrial Zone 16,No. 750 Industry Road,Mr. Manager 75,+86 13800000075,supplier75@yinglima.com,NEW,Grade A,NO,No,Verified supplier test record 75
test76,Manufacturer,Yinglima Supplier 7,Filteration,Vacuum Packers,Spare Parts 2,China,Zhejiang,Guangzhou,Industrial Zone 17,No. 760 Industry Road,Mr. Manager 76,+86 13800000076,supplier76@yinglima.com,NEW,Grade B,NO,Yes,Verified supplier test record 76
test77,Trader,Yinglima Supplier 8,Pumps,Solvents,Spare Parts 3,China,Zhejiang,Shenzhen,Industrial Zone 18,No. 770 Industry Road,Mr. Manager 77,+86 13800000077,supplier77@yinglima.com,NEW,Grade C,NO,No,Verified supplier test record 77
test78,Manufacturer,Yinglima Supplier 9,Machines,Band Sealer,Spare Parts 4,China,Zhejiang,Jinan,Industrial Zone 19,No. 780 Industry Road,Mr. Manager 78,+86 13800000078,supplier78@yinglima.com,NEW,Grade A,NO,No,Verified supplier test record 78
test79,Trader,Yinglima Supplier 10,Food Ingredients,Citric Acid,Spare Parts 5,China,Zhejiang,Yiwu,Industrial Zone 20,No. 790 Industry Road,Mr. Manager 79,+86 13800000079,supplier79@yinglima.com,NEW,Grade C,NO,No,Verified supplier test record 79
test80,Manufacturer,Yinglima Supplier 1,Chemicals,Caustic Soda,Spare Parts 1,China,Zhejiang,Wenzhou,Industrial Zone 1,No. 800 Industry Road,Mr. Manager 80,+86 13800000080,supplier80@yinglima.com,NEW,Grade B,NO,Yes,Verified supplier test record 80
test81,Trader,Yinglima Supplier 2,Tech/Feed Grade Ingredients,Spares for Band Sealer,Spare Parts 2,China,Zhejiang,Hangzhou,Industrial Zone 2,No. 810 Industry Road,Mr. Manager 81,+86 13800000081,supplier81@yinglima.com,NEW,Grade A,NO,No,Verified supplier test record 81
test82,Manufacturer,Yinglima Supplier 3,Filteration,Vacuum Packers,Spare Parts 3,China,Zhejiang,Ningbo,Industrial Zone 3,No. 820 Industry Road,Mr. Manager 82,+86 13800000082,supplier82@yinglima.com,NEW,Grade B,NO,No,Verified supplier test record 82
test83,Trader,Yinglima Supplier 4,Pumps,Solvents,Spare Parts 4,China,Zhejiang,Qingdao,Industrial Zone 4,No. 830 Industry Road,Mr. Manager 83,+86 13800000083,supplier83@yinglima.com,NEW,Grade C,NO,No,Verified supplier test record 83
test84,Manufacturer,Yinglima Supplier 5,Machines,Band Sealer,Spare Parts 5,China,Zhejiang,Weifang,Industrial Zone 5,No. 840 Industry Road,Mr. Manager 84,+86 13800000084,supplier84@yinglima.com,NEW,Grade A,NO,Yes,Verified supplier test record 84
test85,Trader,Yinglima Supplier 6,Food Ingredients,Citric Acid,Spare Parts 1,China,Zhejiang,Shanghai,Industrial Zone 6,No. 850 Industry Road,Mr. Manager 85,+86 13800000085,supplier85@yinglima.com,NEW,Grade C,NO,No,Verified supplier test record 85
test86,Manufacturer,Yinglima Supplier 7,Chemicals,Caustic Soda,Spare Parts 2,China,Zhejiang,Guangzhou,Industrial Zone 7,No. 860 Industry Road,Mr. Manager 86,+86 13800000086,supplier86@yinglima.com,NEW,Grade B,NO,No,Verified supplier test record 86
test87,Trader,Yinglima Supplier 8,Tech/Feed Grade Ingredients,Spares for Band Sealer,Spare Parts 3,China,Zhejiang,Shenzhen,Industrial Zone 8,No. 870 Industry Road,Mr. Manager 87,+86 13800000087,supplier87@yinglima.com,NEW,Grade A,NO,No,Verified supplier test record 87
test88,Manufacturer,Yinglima Supplier 9,Filteration,Vacuum Packers,Spare Parts 4,China,Zhejiang,Jinan,Industrial Zone 9,No. 880 Industry Road,Mr. Manager 88,+86 13800000088,supplier88@yinglima.com,NEW,Grade B,NO,Yes,Verified supplier test record 88
test89,Trader,Yinglima Supplier 10,Pumps,Solvents,Spare Parts 5,China,Zhejiang,Yiwu,Industrial Zone 10,No. 890 Industry Road,Mr. Manager 89,+86 13800000089,supplier89@yinglima.com,NEW,Grade C,NO,No,Verified supplier test record 89
test90,Manufacturer,Yinglima Supplier 1,Machines,Band Sealer,Spare Parts 1,China,Zhejiang,Wenzhou,Industrial Zone 11,No. 900 Industry Road,Mr. Manager 90,+86 13800000090,supplier90@yinglima.com,NEW,Grade A,NO,No,Verified supplier test record 90
test91,Trader,Yinglima Supplier 2,Food Ingredients,Citric Acid,Spare Parts 2,China,Zhejiang,Hangzhou,Industrial Zone 12,No. 910 Industry Road,Mr. Manager 91,+86 13800000091,supplier91@yinglima.com,NEW,Grade C,NO,No,Verified supplier test record 91
test92,Manufacturer,Yinglima Supplier 3,Chemicals,Caustic Soda,Spare Parts 3,China,Zhejiang,Ningbo,Industrial Zone 13,No. 920 Industry Road,Mr. Manager 92,+86 13800000092,supplier92@yinglima.com,NEW,Grade B,NO,Yes,Verified supplier test record 92
test93,Trader,Yinglima Supplier 4,Tech/Feed Grade Ingredients,Spares for Band Sealer,Spare Parts 4,China,Zhejiang,Qingdao,Industrial Zone 14,No. 930 Industry Road,Mr. Manager 93,+86 13800000093,supplier93@yinglima.com,NEW,Grade A,NO,No,Verified supplier test record 93
test94,Manufacturer,Yinglima Supplier 5,Filteration,Vacuum Packers,Spare Parts 5,China,Zhejiang,Weifang,Industrial Zone 15,No. 940 Industry Road,Mr. Manager 94,+86 13800000094,supplier94@yinglima.com,NEW,Grade B,NO,No,Verified supplier test record 94
test95,Trader,Yinglima Supplier 6,Pumps,Solvents,Spare Parts 1,China,Zhejiang,Shanghai,Industrial Zone 16,No. 950 Industry Road,Mr. Manager 95,+86 13800000095,supplier95@yinglima.com,NEW,Grade C,NO,No,Verified supplier test record 95
test96,Manufacturer,Yinglima Supplier 7,Machines,Band Sealer,Spare Parts 2,China,Zhejiang,Guangzhou,Industrial Zone 17,No. 960 Industry Road,Mr. Manager 96,+86 13800000096,supplier96@yinglima.com,NEW,Grade A,NO,Yes,Verified supplier test record 96
test97,Trader,Yinglima Supplier 8,Food Ingredients,Citric Acid,Spare Parts 3,China,Zhejiang,Shenzhen,Industrial Zone 18,No. 970 Industry Road,Mr. Manager 97,+86 13800000097,supplier97@yinglima.com,NEW,Grade C,NO,No,Verified supplier test record 97
test98,Manufacturer,Yinglima Supplier 9,Chemicals,Caustic Soda,Spare Parts 4,China,Zhejiang,Jinan,Industrial Zone 19,No. 980 Industry Road,Mr. Manager 98,+86 13800000098,supplier98@yinglima.com,NEW,Grade B,NO,No,Verified supplier test record 98
test99,Trader,Yinglima Supplier 10,Tech/Feed Grade Ingredients,Spares for Band Sealer,Spare Parts 5,China,Zhejiang,Yiwu,Industrial Zone 20,No. 990 Industry Road,Mr. Manager 99,+86 13800000099,supplier99@yinglima.com,NEW,Grade A,NO,No,Verified supplier test record 99
test100,Manufacturer,Yinglima Supplier 1,Filteration,Vacuum Packers,Spare Parts 1,China,Zhejiang,Wenzhou,Industrial Zone 1,No. 1000 Industry Road,Mr. Manager 100,+86 13800000100,supplier100@yinglima.com,NEW,Grade B,NO,Yes,Verified supplier test record 100
test101,Trader,Yinglima Supplier 2,Pumps,Solvents,Spare Parts 2,China,Zhejiang,Hangzhou,Industrial Zone 2,No. 1010 Industry Road,Mr. Manager 101,+86 13800000101,supplier101@yinglima.com,NEW,Grade C,NO,No,Verified supplier test record 101
